"POS","TEAM","MATCHES","POINTS","RATING"
"1","New Zealand","17","2,054","121"
"2","Australia","25","2,945","118"
"3","India","29","3,344","115"
"4","England","27","3,100","115"
"5","South Africa","20","2,137","107"
"6","Pakistan","24","2,323","97"
"7","Bangladesh","24","2,157","90"
"8","West Indies","27","2,222","82"
"9","Sri Lanka","21","1,652","79"
"10","Afghanistan","17","1,054","62"
"11","Netherlands","2","99","50"
"12","Ireland","18","818","45"
"13","Zimbabwe","15","588","39"
"14","Oman","7","240","34"
"15","Scotland","5","148","30"
"16","Nepal","5","119","24"
"17","UAE","9","190","21"
"18","Namibia","6","97","16"
"19","United States","8","93","12"
"20","Papua New Guinea","5","0","0"
